Income report 2021

Date,Asset,Amount,Value (AUD),Type,Description
10/02/2022 10:59,DOT,0.01863411,0.57,Reward,
11/02/2022 10:59,DOT,0.01864023,0.54,Reward,
12/02/2022 10:59,DOT,0.01864636,0.49,Reward,
13/02/2022 10:59,DOT,0.01865248,0.49,Reward,
14/02/2022 10:59,DOT,0.01865861,0.49,Reward,
15/02/2022 10:59,DOT,0.01866474,0.49,Reward,
16/02/2022 10:59,DOT,0.01867087,0.53,Reward,
17/02/2022 10:59,MATIC,0.14289263,0.37,Reward,
17/02/2022 10:59,DOT,0.01867701,0.52,Reward,
17/02/2022 10:59,SOL,0.00173662,0.25,Reward,
18/02/2022 10:59,MATIC,1.58795068,3.66,Reward,
18/02/2022 10:59,SOL,0.01911334,2.49,Reward,
18/02/2022 10:59,DOT,0.01868314,0.47,Reward,
19/02/2022 10:59,MATIC,1.58847239,3.54,Reward,
19/02/2022 10:59,SOL,0.01911674,2.4,Reward,
19/02/2022 10:59,DOT,0.01868928,0.47,Reward,
20/02/2022 10:59,MATIC,1.58899427,3.6,Reward,
20/02/2022 10:59,SOL,0.01912014,2.43,Reward,
20/02/2022 10:59,DOT,0.01869542,0.47,Reward,
21/02/2022 10:59,MATIC,1.58951632,3.37,Reward,
21/02/2022 10:59,SOL,0.01912354,2.43,Reward,
21/02/2022 10:59,DOT,0.01870156,0.44,Reward,
22/02/2022 10:59,MATIC,1.59003855,3.12,Reward,
22/02/2022 10:59,SOL,0.01912695,2.22,Reward,
22/02/2022 10:59,DOT,0.01870771,0.42,Reward,
23/02/2022 10:59,MATIC,1.59056094,3.25,Reward,
23/02/2022 10:59,SOL,0.01913035,2.31,Reward,
23/02/2022 10:59,DOT,0.01871385,0.43,Reward,
24/02/2022 10:59,MATIC,1.59108351,3.19,Reward,
24/02/2022 10:59,SOL,0.01913375,2.26,Reward,
24/02/2022 10:59,DOT,0.01872000,0.42,Reward,
25/02/2022 10:59,MATIC,1.59160625,3.18,Reward,
25/02/2022 10:59,SOL,0.01913716,2.37,Reward,
25/02/2022 10:59,DOT,0.01872615,0.42,Reward,
26/02/2022 10:59,MATIC,1.59212916,3.46,Reward,
26/02/2022 10:59,SOL,0.01914056,2.5,Reward,
26/02/2022 10:59,DOT,0.01873230,0.46,Reward,
27/02/2022 10:59,MATIC,1.59265224,3.33,Reward,
27/02/2022 10:59,SOL,0.01914397,2.38,Reward,
27/02/2022 10:59,DOT,0.01873846,0.47,Reward,
28/02/2022 10:59,MATIC,1.59317549,3.19,Reward,
28/02/2022 10:59,SOL,0.01914738,2.26,Reward,
28/02/2022 10:59,DOT,0.01874461,0.45,Reward,
01/03/2022 10:59,MATIC,1.59369892,3.57,Reward,
01/03/2022 10:59,SOL,0.01915078,2.65,Reward,
01/03/2022 10:59,DOT,0.01875077,0.49,Reward,
02/03/2022 10:59,MATIC,1.59422251,3.57,Reward,
02/03/2022 10:59,SOL,0.01915419,2.6,Reward,
02/03/2022 10:59,DOT,0.01875693,0.49,Reward,
03/03/2022 10:59,MATIC,1.59474628,3.59,Reward,
03/03/2022 10:59,SOL,0.01915760,2.66,Reward,
03/03/2022 10:59,DOT,0.01876310,0.48,Reward,
04/03/2022 10:59,MATIC,1.59527022,3.47,Reward,
04/03/2022 10:59,SOL,0.01916101,2.52,Reward,
04/03/2022 10:59,DOT,0.01876926,0.46,Reward,
05/03/2022 10:59,MATIC,1.59579434,3.22,Reward,
05/03/2022 10:59,SOL,0.01916442,2.32,Reward,
05/03/2022 10:59,DOT,0.01877543,0.43,Reward,
06/03/2022 10:59,MATIC,1.59631862,3.26,Reward,
06/03/2022 10:59,SOL,0.01916783,2.33,Reward,
06/03/2022 10:59,DOT,0.01878160,0.44,Reward,
07/03/2022 10:59,MATIC,1.59684308,3.11,Reward,
07/03/2022 10:59,SOL,0.01917124,2.2,Reward,
07/03/2022 10:59,DOT,0.01878777,0.43,Reward,
08/03/2022 10:59,MATIC,1.59736771,3.06,Reward,
08/03/2022 10:59,SOL,0.01917465,2.13,Reward,
08/03/2022 10:59,DOT,0.01879394,0.42,Reward,
09/03/2022 10:59,MATIC,1.59789251,3.15,Reward,
09/03/2022 10:59,SOL,0.01917807,2.15,Reward,
09/03/2022 10:59,DOT,0.01880011,0.43,Reward,
10/03/2022 10:59,MATIC,1.59841749,3.31,Reward,
10/03/2022 10:59,SOL,0.01918148,2.33,Reward,
10/03/2022 10:59,DOT,0.01880629,0.46,Reward,
11/03/2022 10:59,MATIC,1.59894263,3.15,Reward,
11/03/2022 10:59,SOL,0.01918489,2.18,Reward,
11/03/2022 10:59,DOT,0.01881247,0.44,Reward,
12/03/2022 10:59,MATIC,1.59946795,3.07,Reward,
12/03/2022 10:59,SOL,0.01918831,2.12,Reward,
12/03/2022 10:59,DOT,0.01881865,0.46,Reward,
13/03/2022 10:59,MATIC,1.59999345,3.07,Reward,
13/03/2022 10:59,SOL,0.01919172,2.15,Reward,
13/03/2022 10:59,DOT,0.01882483,0.47,Reward,
14/03/2022 10:59,MATIC,1.60051911,2.98,Reward,
14/03/2022 10:59,SOL,0.01919514,2.07,Reward,
14/03/2022 10:59,DOT,0.01883102,0.44,Reward,
15/03/2022 10:59,MATIC,1.60104495,3.02,Reward,
15/03/2022 10:59,SOL,0.01919855,2.14,Reward,
15/03/2022 10:59,DOT,0.01883720,0.46,Reward,
16/03/2022 10:59,MATIC,1.60157096,3.08,Reward,
16/03/2022 10:59,SOL,0.01920197,2.22,Reward,
16/03/2022 10:59,DOT,0.01884339,0.47,Reward,
17/03/2022 10:59,MATIC,1.60209714,3.26,Reward,
17/03/2022 10:59,SOL,0.01920539,2.34,Reward,
17/03/2022 10:59,DOT,0.01884958,0.5,Reward,
18/03/2022 10:59,MATIC,1.60262350,3.18,Reward,
18/03/2022 10:59,SOL,0.01920880,2.31,Reward,
18/03/2022 10:59,DOT,0.01885578,0.48,Reward,
19/03/2022 10:59,MATIC,1.60315003,3.26,Reward,
19/03/2022 10:59,SOL,0.01921222,2.34,Reward,
19/03/2022 10:59,DOT,0.01886197,0.49,Reward,
20/03/2022 10:59,MATIC,1.60367673,3.3,Reward,
20/03/2022 10:59,SOL,0.01921564,2.39,Reward,
20/03/2022 10:59,DOT,0.01886817,0.49,Reward,
21/03/2022 10:59,MATIC,1.60420361,3.17,Reward,
21/03/2022 10:59,SOL,0.01921906,2.29,Reward,
21/03/2022 10:59,DOT,0.01887437,0.47,Reward,
22/03/2022 10:59,MATIC,1.60473066,3.17,Reward,
22/03/2022 10:59,SOL,0.01922248,2.3,Reward,
22/03/2022 10:59,DOT,0.01888057,0.48,Reward,
23/03/2022 10:59,MATIC,1.60525788,3.27,Reward,
23/03/2022 10:59,SOL,0.01922590,2.36,Reward,
23/03/2022 10:59,DOT,0.01888677,0.52,Reward,
24/03/2022 10:59,MATIC,1.60578527,3.35,Reward,
24/03/2022 10:59,SOL,0.01922932,2.45,Reward,
24/03/2022 10:59,DOT,0.01889298,0.53,Reward,
25/03/2022 10:59,MATIC,1.60631284,3.5,Reward,
25/03/2022 10:59,SOL,0.01923275,2.63,Reward,
25/03/2022 10:59,DOT,0.01889918,0.54,Reward,
26/03/2022 10:59,MATIC,1.60684058,3.38,Reward,
26/03/2022 10:59,SOL,0.01923617,2.52,Reward,
26/03/2022 10:59,DOT,0.01890539,0.52,Reward,
27/03/2022 10:59,MATIC,1.60736850,3.5,Reward,
27/03/2022 10:59,SOL,0.01923959,2.65,Reward,
27/03/2022 10:59,DOT,0.01891160,0.53,Reward,
28/03/2022 10:59,MATIC,1.60789658,3.62,Reward,
28/03/2022 10:59,SOL,0.01924302,2.75,Reward,
28/03/2022 10:59,DOT,0.01891782,0.56,Reward,
29/03/2022 10:59,MATIC,1.60842485,3.59,Reward,
29/03/2022 10:59,SOL,0.01924644,2.74,Reward,
29/03/2022 10:59,DOT,0.01892403,0.56,Reward,
30/03/2022 10:59,MATIC,1.60895328,3.6,Reward,
30/03/2022 10:59,SOL,0.01924987,2.87,Reward,
30/03/2022 10:59,DOT,0.01893025,0.56,Reward,
31/03/2022 10:59,MATIC,1.60948189,3.62,Reward,
31/03/2022 10:59,SOL,0.01925329,3.1,Reward,
31/03/2022 10:59,DOT,0.01893647,0.57,Reward,
01/04/2022 10:59,MATIC,1.61001067,3.46,Reward,
01/04/2022 10:59,SOL,0.01925672,3.16,Reward,
01/04/2022 10:59,DOT,0.01894269,0.53,Reward,
02/04/2022 10:59,MATIC,1.61053963,3.64,Reward,
02/04/2022 10:59,SOL,0.01926014,3.46,Reward,
02/04/2022 10:59,DOT,0.01894891,0.56,Reward,
03/04/2022 10:29,MATIC,1.61106876,3.58,Reward,
03/04/2022 10:29,SOL,0.01926357,3.41,Reward,
03/04/2022 10:29,DOT,0.01895514,0.58,Reward,
04/04/2022 10:29,MATIC,1.61159806,3.63,Reward,
04/04/2022 10:29,DOT,0.01896137,0.58,Reward,
04/04/2022 10:29,SOL,0.01778492,3.23,Reward,
05/04/2022 10:29,MATIC,1.61212754,3.55,Reward,
05/04/2022 10:29,DOT,0.01896760,0.57,Reward,
05/04/2022 10:29,SOL,0.01778785,3.14,Reward,
06/04/2022 10:29,MATIC,1.61265719,3.41,Reward,
06/04/2022 10:29,DOT,0.01897383,0.55,Reward,
06/04/2022 10:29,SOL,0.01779077,2.99,Reward,
07/04/2022 10:29,MATIC,1.61318702,3.12,Reward,
07/04/2022 10:29,DOT,0.01898006,0.5,Reward,
07/04/2022 10:29,SOL,0.01779369,2.67,Reward,
08/04/2022 10:29,MATIC,1.61371702,3.26,Reward,
08/04/2022 10:29,DOT,0.01898630,0.52,Reward,
08/04/2022 10:29,SOL,0.01779661,2.83,Reward,
09/04/2022 10:29,MATIC,1.61424719,3.09,Reward,
09/04/2022 10:29,DOT,0.01899254,0.49,Reward,
09/04/2022 10:29,SOL,0.01779954,2.6,Reward,
10/04/2022 10:29,MATIC,1.61477754,3.17,Reward,
10/04/2022 10:29,DOT,0.01899878,0.5,Reward,
10/04/2022 10:29,SOL,0.01780246,2.7,Reward,
11/04/2022 10:29,MATIC,1.61530806,3.12,Reward,
11/04/2022 10:29,DOT,0.01900502,0.5,Reward,
11/04/2022 10:29,SOL,0.01780538,2.69,Reward,
12/04/2022 10:29,MATIC,1.61583876,2.9,Reward,
12/04/2022 10:29,DOT,0.01901126,0.44,Reward,
12/04/2022 10:29,SOL,0.01780831,2.39,Reward,
13/04/2022 10:29,MATIC,1.61636963,3.03,Reward,
13/04/2022 10:29,DOT,0.01901751,0.46,Reward,
13/04/2022 10:29,SOL,0.01781123,2.47,Reward,
14/04/2022 10:29,MATIC,1.61690068,3.07,Reward,
14/04/2022 10:29,DOT,0.01902376,0.46,Reward,
14/04/2022 10:29,SOL,0.01781416,2.5,Reward,
15/04/2022 10:29,MATIC,1.61743190,2.98,Reward,
15/04/2022 10:29,DOT,0.01903001,0.46,Reward,
15/04/2022 10:29,SOL,0.01781709,2.41,Reward,
16/04/2022 10:29,MATIC,1.61796329,3.05,Reward,
16/04/2022 10:29,DOT,0.01903626,0.47,Reward,
16/04/2022 10:29,SOL,0.01782001,2.44,Reward,
17/04/2022 10:29,MATIC,1.61849486,3.05,Reward,
17/04/2022 10:29,DOT,0.01904251,0.48,Reward,
17/04/2022 10:29,SOL,0.01782294,2.47,Reward,
18/04/2022 10:29,MATIC,1.61902660,2.93,Reward,
18/04/2022 10:29,DOT,0.01904877,0.46,Reward,
18/04/2022 10:29,SOL,0.01782587,2.41,Reward,
19/04/2022 10:29,MATIC,1.61955852,3.12,Reward,
19/04/2022 10:29,DOT,0.01905503,0.47,Reward,
19/04/2022 10:29,SOL,0.01782880,2.46,Reward,
20/04/2022 10:29,MATIC,1.62009062,3.14,Reward,
20/04/2022 10:29,DOT,0.01906129,0.49,Reward,
20/04/2022 10:29,SOL,0.01783173,2.62,Reward,
21/04/2022 10:29,MATIC,1.62062288,3.11,Reward,
21/04/2022 10:29,DOT,0.01906755,0.49,Reward,
21/04/2022 10:29,SOL,0.01783466,2.54,Reward,
22/04/2022 10:29,MATIC,1.62115533,3.01,Reward,
22/04/2022 10:29,DOT,0.01907381,0.47,Reward,
22/04/2022 10:29,SOL,0.01783758,2.44,Reward,
23/04/2022 10:29,MATIC,1.62168794,3.08,Reward,
23/04/2022 10:29,DOT,0.01908008,0.48,Reward,
23/04/2022 10:29,SOL,0.01784052,2.44,Reward,
24/04/2022 10:29,MATIC,1.62222074,3.06,Reward,
24/04/2022 10:29,DOT,0.01908635,0.5,Reward,
24/04/2022 10:29,SOL,0.01784345,2.49,Reward,
25/04/2022 10:29,MATIC,1.62275370,3.02,Reward,
25/04/2022 10:29,DOT,0.01909262,0.48,Reward,
25/04/2022 10:29,SOL,0.01784638,2.45,Reward,
26/04/2022 10:29,MATIC,1.62328685,3.05,Reward,
26/04/2022 10:29,DOT,0.01909889,0.48,Reward,
26/04/2022 10:29,SOL,0.01784931,2.51,Reward,
27/04/2022 10:29,MATIC,1.62382017,2.8,Reward,
27/04/2022 10:29,DOT,0.01910517,0.44,Reward,
27/04/2022 10:29,SOL,0.01785224,2.38,Reward,
28/04/2022 10:29,MATIC,1.62435366,2.86,Reward,
28/04/2022 10:29,DOT,0.01911144,0.45,Reward,
28/04/2022 10:29,SOL,0.01785517,2.46,Reward,
29/04/2022 10:29,MATIC,1.62488733,2.82,Reward,
29/04/2022 10:29,DOT,0.01911772,0.46,Reward,
29/04/2022 10:29,SOL,0.01785811,2.46,Reward,
30/04/2022 10:29,MATIC,1.62542117,2.6,Reward,
30/04/2022 10:29,DOT,0.01912400,0.43,Reward,
30/04/2022 10:29,SOL,0.01786104,2.36,Reward,
01/05/2022 10:29,MATIC,1.62595519,2.38,Reward,
01/05/2022 10:29,DOT,0.01913029,0.39,Reward,
01/05/2022 10:29,SOL,0.01786397,2.15,Reward,
02/05/2022 10:29,MATIC,1.62648938,2.54,Reward,
02/05/2022 10:29,DOT,0.01913657,0.42,Reward,
02/05/2022 10:29,SOL,0.01786691,2.27,Reward,
03/05/2022 10:29,MATIC,1.62702376,2.48,Reward,
03/05/2022 10:29,DOT,0.01914286,0.41,Reward,
03/05/2022 10:29,SOL,0.01786984,2.22,Reward,
04/05/2022 10:29,MATIC,1.62755830,2.46,Reward,
04/05/2022 10:29,DOT,0.01914915,0.4,Reward,
04/05/2022 10:29,SOL,0.01787278,2.16,Reward,
05/05/2022 10:29,MATIC,1.62809302,2.68,Reward,
05/05/2022 10:29,DOT,0.01915544,0.44,Reward,
05/05/2022 10:29,SOL,0.01787572,2.33,Reward,
01/06/2022 00:42,LUNA,0.00145786,0.02,Airdrop,
01/06/2022 04:08,LUNA,0.15178778,1.94,Airdrop,
